depth_mMDRF,inclination_deg,azimuth_deg,TVD_mRF,mRSL,easting_m,northing_m
0.0,0.0,80.0,0.0,0.0,0.0,0.0
774.67,0.0,440.0,774.67,-774.67,0.0,0.0
786.8,0.64,396.39,786.8,-786.8,-0.049999999813735485,0.049999999813735485
799.62,1.14,411.76,799.62,-799.62,-0.1600000001490116,0.2099999999627471
813.18,2.28,415.96,813.17,-813.17,-0.3300000000745058,0.5800000000745058
826.84,3.38,425.68,826.82,-826.82,-0.5400000000372529,1.2199999997392297
840.14,4.37,434.15,840.08,-840.08,-0.6899999999441206,2.099999999627471
853.62,5.53,436.84,853.51,-853.51,-0.779999999795109,3.2599999997764826
867.22,6.87,437.16,867.03,-867.03,-0.8500000000931323,4.730000000447035
880.65,8.17,437.63,880.35,-880.35,-0.9300000001676381,6.480000000447035
894.21,8.97,437.13,893.76,-893.76,-1.029999999795109,8.5
907.64,9.55,438.35,907.01,-907.01,-1.1099999998696148,10.660000000149012
921.3,11.07,437.22,920.45,-920.45,-1.209999999962747,13.099999999627471
935.95,12.58,434.98,934.79,-934.79,-1.4100000001490116,16.09999999962747
949.63,14.22,436.45,948.1,-948.1,-1.6499999999068677,19.259999999776483
962.96,15.98,438.01,960.97,-960.97,-1.8100000000558794,22.730000000447035
976.97,17.44,436.11,974.38,-974.38,-2.0200000000186265,26.75
990.52,18.73,437.66,987.26,-987.26,-2.25,30.950000000186265
1003.83,19.66,437.36,999.83,-999.83,-2.4399999999441206,35.32000000029802
1016.32,20.64,436.8,1011.56,-1011.56,-2.6600000001490116,39.62000000011176
1029.85,20.77,435.42,1024.22,-1024.22,-2.9799999999813735,44.389999999664724
1044.0,20.74,436.27,1037.45,-1037.45,-3.3500000000931323,49.389999999664724
1058.92,20.23,435.12,1051.42,-1051.42,-3.7400000002235174,54.59999999962747
1072.42,19.72,434.2,1064.11,-1064.11,-4.169999999925494,59.19000000040978
1085.95,19.26,435.56,1076.87,-1076.87,-4.569999999832362,63.67999999970198
1099.47,19.45,433.65,1089.62,-1089.62,-4.990000000223517,68.15000000037253
1112.77,19.53,433.83,1102.16,-1102.16,-5.4799999999813735,72.55999999959022
1126.38,19.29,432.32,1115.0,-1115.0,-6.0200000000186265,77.04999999981374
1139.62,20.13,433.16,1127.46,-1127.46,-6.589999999850988,81.48000000044703
1154.68,19.75,433.18,1141.62,-1141.62,-7.2000000001862645,86.57000000029802
1168.27,19.01,436.24,1154.44,-1154.44,-7.609999999869615,91.05999999959022
1181.78,18.53,435.97,1167.23,-1167.23,-7.910000000149012,95.40000000037253
