depth_mMDRF,inclination_deg,azimuth_deg,TVD_mRF,plunge
0.0,0.0,80.0,0.0,90.0
774.67,0.0,440.0,774.67,90.0
786.8,0.64,396.39,786.8,89.36
799.62,1.14,411.76,799.62,88.86
813.18,2.28,415.96,813.17,87.72
826.84,3.38,425.68,826.82,86.62
840.14,4.37,434.15,840.08,85.63
853.62,5.53,436.84,853.51,84.47
867.22,6.87,437.16,867.03,83.13
880.65,8.17,437.63,880.35,81.83
894.21,8.97,437.13,893.76,81.03
907.64,9.55,438.35,907.01,80.45
921.3,11.07,437.22,920.45,78.93
935.95,12.58,434.98,934.79,77.42
949.63,14.22,436.45,948.1,75.78
962.96,15.98,438.01,960.97,74.02
976.97,17.44,436.11,974.38,72.56
990.52,18.73,437.66,987.26,71.27
1003.83,19.66,437.36,999.83,70.34
1016.32,20.64,436.8,1011.56,69.36
1029.85,20.77,435.42,1024.22,69.23
1044.0,20.74,436.27,1037.45,69.26
1058.92,20.23,435.12,1051.42,69.77
1072.42,19.72,434.2,1064.11,70.28
1085.95,19.26,435.56,1076.87,70.74
1099.47,19.45,433.65,1089.62,70.55
1112.77,19.53,433.83,1102.16,70.47
1126.38,19.29,432.32,1115.0,70.71000000000001
1139.62,20.13,433.16,1127.46,69.87
1154.68,19.75,433.18,1141.62,70.25
1168.27,19.01,436.24,1154.44,70.99
1181.78,18.53,435.97,1167.23,71.47
1191.14,19.38,439.54,1176.08,70.62
1216.03,19.76,436.11,1199.54,70.24
1229.46,20.26,435.96,1212.16,69.74
1242.95,20.85,436.33,1224.79,69.15
1256.4,21.4,436.72,1237.33,68.6
1269.9,21.82,435.78,1249.88,68.18
1283.36,22.3,435.97,1262.36,67.7
1296.81,22.63,436.21,1274.79,67.37
1310.03,22.77,436.74,1286.98,67.23
1323.76,23.09,437.69,1299.63,66.91
1337.18,23.11,437.4,1311.97,66.89
1348.22,23.22,438.0,1322.12,66.78
1362.68,23.56,437.25,1335.39,66.44
1373.59,23.79,437.76,1345.39,66.21000000000001
1381.69,23.1,436.38,1352.82,66.9
1395.74,22.07,432.19,1365.79,67.93
1408.94,21.68,430.26,1378.04,68.32
1422.29,20.65,429.85,1390.49,69.35
1435.67,20.53,428.57,1403.02,69.47
1449.23,20.38,429.04,1415.72,69.62
1459.99,20.48,430.55,1425.8,69.52
1460.78,20.56,430.55,1426.54,69.44
1470.16,20.47,431.0,1435.33,69.53
1480.45,20.34,430.65,1444.97,69.66
1490.81,20.59,430.66,1454.68,69.41
1500.2,20.5,430.6,1463.47,69.5
1510.68,20.3,430.61,1473.29,69.7
1521.01,20.34,430.48,1482.98,69.66
1530.31,20.38,430.19,1491.7,69.62
1540.65,20.33,430.28,1501.39,69.67
1550.91,20.48,430.26,1511.01,69.52
1560.14,20.4,429.94,1519.66,69.6
1570.42,20.38,430.18,1529.3,69.62
1580.71,20.31,430.01,1538.94,69.69
1590.05,20.28,429.78,1547.7,69.72
1600.36,20.37,430.4,1557.37,69.63
1610.69,20.34,429.83,1567.06,69.66
1620.99,19.99,429.97,1576.73,70.01
1630.3,20.25,429.89,1585.47,69.75
1640.65,20.07,429.91,1595.18,69.93
1651.0,20.19,429.74,1604.9,69.81
1660.33,20.11,429.78,1613.66,69.89
1670.7,20.04,429.89,1623.4,69.96000000000001
1680.04,19.91,429.62,1632.18,70.09
1690.41,19.99,429.54,1641.93,70.01
1700.81,20.09,429.38,1651.7,69.91
1710.15,20.01,429.34,1660.47,69.99
1720.54,19.99,429.29,1670.23,70.01
1730.94,19.97,429.6,1680.01,70.03
1740.33,19.89,429.45,1688.84,70.11
1750.96,19.66,429.37,1698.84,70.34
1760.3,19.67,429.59,1707.63,70.33
1770.71,19.94,429.21,1717.43,70.06
1780.0,19.68,429.94,1726.17,70.32
1790.49,19.87,429.45,1736.04,70.13
1800.71,19.76,429.73,1745.65,70.24
1810.94,19.76,429.49,1755.28,70.24
1820.25,19.71,429.59,1764.05,70.28999999999999
1830.49,19.57,429.35,1773.69,70.43
1840.82,19.63,430.03,1783.42,70.37
1850.29,19.61,428.81,1792.34,70.39
1860.72,19.47,430.07,1802.17,70.53
1870.22,19.46,429.63,1811.13,70.53999999999999
1880.47,19.51,429.55,1820.79,70.49
1890.82,19.46,429.67,1830.55,70.53999999999999
1900.08,19.47,429.48,1839.28,70.53
1910.67,19.31,429.81,1849.27,70.69
1920.13,19.27,429.46,1858.2,70.73
1930.72,19.19,430.15,1868.2,70.81
